ID,Mass,Bfld,Type
179902,15052048000.0,11.871122,Pre-Infall
179903,5407235600.0,4.5475793,Pre-Infall
179905,7755902000.0,6.1479025,Pre-Infall
179906,2155013600.0,5.875218,Pre-Infall
179944,2579417900.0,17.260998,Pre-Infall
181984,201611700000.0,2.1663258,Pre-Infall
181985,167436660000.0,1.5371702,Pre-Infall
181987,44324225000.0,8.599753,Pre-Infall
181989,31819094000.0,0.9085569,Pre-Infall
181990,44877470000.0,0.54864633,Pre-Infall
181994,16637276000.0,10.983441,Pre-Infall
181995,9629580000.0,9.261092,Pre-Infall
181996,19150328000.0,6.628904,Pre-Infall
181997,15630823000.0,10.92607,Pre-Infall
181998,16743967000.0,6.9364886,Pre-Infall
182000,1632131700.0,4.9860215,Pre-Infall
182001,3919933700.0,2.9870822,Pre-Infall
182004,2306539500.0,19.495314,Pre-Infall
182005,5671274500.0,2.5992308,Pre-Infall
184830,187141240000.0,20.984505,Pre-Infall
184832,31955552000.0,6.993294,Pre-Infall
184833,22514268000.0,13.613749,Pre-Infall
184834,42599780000.0,10.201011,Pre-Infall
184836,27001991000.0,4.2628226,Pre-Infall
184838,8106213400.0,6.1594286,Pre-Infall
184839,15092122000.0,4.6676545,Pre-Infall
184840,7029414000.0,10.495924,Pre-Infall
184841,12588881000.0,3.615008,Pre-Infall
184843,3525444600.0,1.517354,Pre-Infall
184844,7633024500.0,2.652874,Pre-Infall
184847,1730680700.0,3.1657567,Pre-Infall
186939,13417812000.0,8.919134,Pre-Infall
186943,1634647600.0,1.75054,Pre-Infall
186946,7567101400.0,8.137371,Pre-Infall
186955,1098089300.0,0.6074457,Pre-Infall
188870,14413520000.0,1.7856427,Pre-Infall
188874,7111342000.0,1.9839965,Pre-Infall
188878,7200508400.0,7.7383947,Pre-Infall
188879,2339852300.0,2.3947964,Pre-Infall
191090,15146341000.0,3.1983626,Pre-Infall
191100,1846519700.0,2.5018733,Pre-Infall
192909,14151739000.0,5.2590714,Pre-Infall
192910,10336930000.0,8.022754,Pre-Infall
192911,12925361000.0,2.9972222,Pre-Infall
192912,15441129000.0,3.9406886,Pre-Infall
192913,4980181000.0,4.013496,Pre-Infall
192915,3464861000.0,3.7436972,Pre-Infall
192916,2457106200.0,2.539662,Pre-Infall
192923,1089922700.0,3.998356,Pre-Infall
194951,19248003000.0,6.9743657,Pre-Infall
194955,8906028000.0,6.9666533,Pre-Infall
194956,9026320000.0,3.8217173,Pre-Infall
194958,7257589000.0,4.800135,Pre-Infall
194959,7660978700.0,2.904464,Pre-Infall
194960,1613179400.0,6.307954,Pre-Infall
194961,1970082600.0,2.3907833,Pre-Infall
194962,2569154800.0,7.087949,Pre-Infall
194965,2411910000.0,4.6096015,Pre-Infall
194967,1063827840.0,11.310894,Pre-Infall
194968,2136738200.0,2.9011397,Pre-Infall
194971,1980171400.0,3.1710262,Pre-Infall
194976,4224255200.0,5.596034,Pre-Infall
197109,306137330000.0,1.851136,Pre-Infall
197111,144696380000.0,3.2100778,Pre-Infall
197113,49842844000.0,0.4501916,Pre-Infall
197114,31165550000.0,10.064629,Pre-Infall
197116,13940468000.0,8.975236,Pre-Infall
197121,3567747800.0,4.502716,Pre-Infall
197123,4793732600.0,6.506572,Pre-Infall
197126,1040671740.0,2.8691127,Pre-Infall
197127,6322280000.0,11.139732,Pre-Infall
197128,1899945700.0,4.414418,Pre-Infall
197129,1965021300.0,4.7232904,Pre-Infall
197131,2638674700.0,3.2938945,Pre-Infall
197133,1609920600.0,7.4640474,Pre-Infall
197135,3902900700.0,2.521726,Pre-Infall
197138,7093377500.0,16.129051,Pre-Infall
197141,1562731400.0,2.7051845,Pre-Infall
197143,5148109000.0,15.799998,Pre-Infall
199322,49912220000.0,1.2050819,Pre-Infall
199323,29802355000.0,0.1427767,Pre-Infall
199324,18445527000.0,10.719102,Pre-Infall
200804,211468240000.0,5.6516294,Pre-Infall
200805,52357150000.0,0.6550975,Pre-Infall
200807,45305913000.0,0.1092049,Pre-Infall
200810,42981003000.0,2.302111,Pre-Infall
200811,16724354000.0,5.5594788,Pre-Infall
200813,12647074000.0,10.138622,Pre-Infall
200815,2599900400.0,2.6699224,Pre-Infall
200817,2632615700.0,5.315433,Pre-Infall
200819,9652504000.0,4.27197,Pre-Infall
202636,65121485000.0,3.8197973,Pre-Infall
202637,87325250000.0,7.1903377,Pre-Infall
202640,43668054000.0,3.6620915,Pre-Infall
202641,3453385700.0,2.7300203,Pre-Infall
204235,60029660000.0,0.18589547,Pre-Infall
204237,53149487000.0,2.0179486,Pre-Infall
204238,72737030000.0,0.1671294,Pre-Infall
204239,14278410000.0,9.631032,Pre-Infall
204242,3821161200.0,6.132907,Pre-Infall
206231,3031942000.0,4.7930355,Pre-Infall
207475,28071735000.0,6.783719,Pre-Infall
207479,4688602000.0,5.0405235,Pre-Infall
207482,2393645000.0,1.718174,Pre-Infall
207485,1662692900.0,3.1138623,Pre-Infall
208817,1320052100.0,3.3401096,Pre-Infall
210763,173342750000.0,1.026413,Pre-Infall
210765,194717430000.0,2.8334024,Pre-Infall
210773,4221708800.0,4.5667596,Pre-Infall
210775,3206235000.0,5.1563325,Pre-Infall
210778,1474607700.0,9.544561,Pre-Infall
210783,6834532000.0,4.0863442,Pre-Infall
210785,1056328640.0,2.2785778,Pre-Infall
210788,7315220000.0,2.7475758,Pre-Infall
212837,142251570000.0,2.8637323,Pre-Infall
212838,100218010000.0,8.511363,Pre-Infall
212841,28577356000.0,6.5720787,Pre-Infall
212843,19632828000.0,8.116879,Pre-Infall
212844,8998552000.0,3.972089,Pre-Infall
212845,2028572500.0,6.5978403,Pre-Infall
212846,9868179000.0,3.944499,Pre-Infall
212847,9660669000.0,3.2914655,Pre-Infall
212848,10965694000.0,2.673874,Pre-Infall
214453,116116900000.0,2.6054633,Pre-Infall
214454,122478700000.0,5.1148396,Pre-Infall
214458,12974857000.0,3.7779303,Pre-Infall
214459,28397881000.0,6.177555,Pre-Infall
214461,7515442000.0,4.059028,Pre-Infall
214462,10159952000.0,10.688914,Pre-Infall
214463,3278368000.0,3.2020087,Pre-Infall
214464,3581919200.0,3.7637339,Pre-Infall
214467,1030331200.0,3.2408504,Pre-Infall
216017,108594120000.0,0.94875956,Pre-Infall
216023,3192074500.0,3.5997684,Pre-Infall
216024,7789351400.0,13.222582,Pre-Infall
216025,3360670700.0,8.423191,Pre-Infall
216028,2380928300.0,3.637062,Pre-Infall
216033,5491762000.0,3.2077796,Pre-Infall
217487,56334107000.0,3.440044,Pre-Infall
217494,2956472300.0,6.8681445,Pre-Infall
